Category,Language,Word,Age_Suitability
Mild,English,heck,All ages
Mild,Filipino,putik,All ages
Mild,English,darn,All ages
Mild,Filipino,leche,All ages
Mild,English,crap,All ages
Mild,Filipino,gago,All ages
Mild,English,shoot,All ages
Mild,Filipino,loko,All ages
Mild,English,push,All ages
Mild,Filipino,tulak,All ages
Mild,English,kick,All ages
Mild,Filipino,sipa,All ages
Mild,English,poke,All ages
Mild,Filipino,tusok,All ages
Mild,English,shove,All ages
Mild,Filipino,itulak,All ages
Mild,English,flirt,All ages
Mild,Filipino,landi,All ages
Mild,English,kiss,All ages
Mild,Filipino,halik,All ages
Mild,English,crush,All ages
Mild,Filipino,crush,All ages
Mild,English,hug,All ages
Mild,Filipino,yakap,All ages
Mild,English,geek,All ages
Mild,Filipino,bobo,All ages
Mild,English,nerd,All ages
Mild,Filipino,weirdo,All ages
Mild,English,silly,All ages
Mild,Filipino,baliw,All ages
Mild,English,loser,All ages
Mild,Filipino,talunan,All ages
Mild,English,screw,All ages
Mild,Filipino,gunggong,All ages
Mild,English,yuck,All ages
Mild,Filipino,kapal,All ages
Mild,English,jerk,All ages
Mild,Filipino,loko-loko,All ages
Mild,English,dummy,All ages
Mild,Filipino,gunggong,All ages
Mild,English,freak,All ages
Mild,Filipino,utak-pulbos,All ages
Mild,English,dodo,All ages
Mild,Filipino,tanga,All ages
Mild,English,nutcase,All ages
Mild,Filipino,lungkot,All ages
Mild,English,goof,All ages
Mild,Filipino,sayang,All ages
Mild,English,dope,All ages
Mild,Filipino,ayusin,All ages
Mild,English,lame,All ages
Mild,Filipino,magulo,All ages
Mild,English,twit,All ages
Mild,Filipino,asik,All ages
Mild,English,lousy,All ages
Mild,Filipino,kainis,All ages
Mild,English,gosh,All ages
Mild,Filipino,asar,All ages
Mild,English,crud,All ages
Mild,Filipino,biro,All ages
Mild,English,wimp,All ages
Mild,Filipino,banat,All ages
Mild,English,bleep,All ages
Mild,Filipino,bolero,All ages
Mild,English,bozo,All ages
Mild,Filipino,kulit,All ages
Mild,English,shrug,All ages
Mild,Filipino,tili,All ages
Mild,English,meh,All ages
